name,Year,Data Health Birth Rate,Data Health Death Rate,Data Health Fertility Rate,Data Health Life Expectancy at Birth  Female,Data Health Life Expectancy at Birth Male,Data Health Life Expectancy at Birth Total,Data Health Population Growth,Data Health Total Population,Data Infrastructure Mobile Cellular Subscriptions,Data Infrastructure Mobile Cellular Subscriptions per 100 People,Data Infrastructure Telephone Lines,Data Infrastructure Telephone Lines per 100 People,Data Rural Development Agricultural Land,Data Rural Development Agricultural Land Percent,Data Rural Development Arable Land,Data Rural Development Arable Land Percent,Data Rural Development Land Area,Data Rural Development Rural Population,Data Rural Development Rural Population Growth,Data Rural Development Surface Area,Data Urban Development Population Density,Data Urban Development Urban Population Percent,Data Urban Development Urban Population Percent Growth,geo,Region,imageUrl
Canada,1980,15.4,7.0,1.754,78.59,71.32,74.86634146,0.99766936,24277000.0,0.0,0.0,9595000.0,39.56235092,669030.0,7.357225098,1.827820571,4.879743905,9093510.0,5918004,0.833711883,9984670.0,2.669706197,75.623,1.050578234,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1981,15.4,7.1,1.74,78.73,71.6,75.07804878,1.2932449529999999,24593000.0,0.0,0.0,9979000.0,40.71224022,663960.0,7.301471049,1.8185255969999998,4.918122925,9093510.0,5985198,1.129019129,9984670.0,2.704456255,75.663,1.346125553,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1982,15.3,7.0,1.7,79.11,72.02,75.47853659,1.240595387,24900000.0,0.0,0.0,10294500.0,41.57076055,658890.0,7.245717,1.8101204819999999,4.956501945,9093510.0,6047712,1.0390597529999999,9984670.0,2.7382165960000004,75.712,1.30533307,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1983,15.1,7.1,1.69,79.23,72.3,75.68048780000001,1.205555298,25202000.0,0.0,0.0,10335442.0,41.32064158,662760.0,7.288274825,1.789778589,4.960240875,9093510.0,6080235,0.536332785,9984670.0,2.771427095,75.874,1.419292924,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1984,15.0,7.0,1.68,79.55,72.69,76.03634146,1.002811515,25456000.0,0.0,0.0,10468344.0,41.42934621,666640.0,7.330942617000001,1.77321653,4.963869837,9093510.0,6100530,0.33323061,9984670.0,2.799359103,76.035,1.2147851790000002,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1985,15.0,7.0,1.65,79.78,73.02,76.31756098,0.961733829,25702000.0,0.0,0.0,11827271.0,46.30512952,670510.0,7.373500442,1.757567504,4.967608767,9093510.0,6118361,0.291859755,9984670.0,2.8264113639999997,76.195,1.171940588,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1986,14.9,7.0,1.67,79.73,73.04,76.30341463,0.929446703,25942000.0,12000.0,0.046433382,12480666.0,48.2932946,674390.0,7.416168234,1.7425796009999999,4.971237728999999,9093510.0,6134245,0.259275601,9984670.0,2.852803813,76.354,1.137905494,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1987,14.5,7.2,1.675,79.8,73.24,76.44,1.004879395,26204000.0,60000.0,0.229211886,12948041.0,49.4640816,678250.0,7.45861609,1.726415814,4.974866691,9093510.0,6157416,0.377020281,9984670.0,2.88161557,76.502,1.198523749,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1988,14.4,7.2,1.68,80.12,73.52,76.7395122,1.311767682,26550000.0,98364.0,0.370663166,13444317.0,50.66196069,678120.0,7.457186499,1.706440678,4.982234583,9093510.0,6233409,1.226616514,9984670.0,2.919664684,76.52199999999999,1.337907772,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
Canada,1989,14.5,7.3,1.68,80.2,73.58,76.80926829,1.2910648040000001,26895000.0,202633.0,0.7528804790000001,13975828.0,51.92702113,677980.0,7.455646939,1.68700502,4.989492506,9093510.0,6309029,1.205840783,9984670.0,2.95760383,76.542,1.317198149,can,North America,https://www.worldometers.info/img/flags/ca-flag.gif
